发布时间,PA,PE,PD,PH,PG,PB,PK,NA,NB,NJ,NH,PF,NI,NC,NG,NE,ND,NN,NK,NL,PC,topic
2020-01-20,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,"['抗击', '传播', '检测', '日本', '意大利', '人员', '出院', '战疫', '治疗']"
2020-01-21,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,"['抗击', '传播', '检测', '日本', '意大利', '人员', '出院', '战疫', '治疗']"
2020-01-22,87,118,0,300,18,90,54,0,0,0,0,72,0,272,0,64,0,54,0,18,0,"['抗击', '传播', '检测', '日本', '意大利', '人员', '出院', '战疫', '治疗']"
2020-01-23,14,28,14,113,16,5,8,0,2,0,0,0,3,81,0,1,3,34,0,5,0,"['抗击', '传播', '检测', '日本', '意大利', '人员', '出院', '战疫', '治疗']"
2020-01-24,344,669,77,2423,171,26,24,0,91,184,0,39,46,2638,14,104,117,677,0,76,4,"['抗击', '传播', '检测', '日本', '意大利', '人员', '出院', '战疫', '治疗']"
2020-01-25,274,270,321,1522,400,112,64,0,249,46,0,140,415,1019,2,192,293,922,0,60,60,"['出现', '检测', '日本', '意大利', '人员', '发布', '防疫', '战疫', '治疗']"
2020-01-26,12,58,34,253,169,18,1,0,48,4,0,54,5,742,9,10,7,27,0,3,1,"['出现', '检测', '日本', '意大利', '人员', '发布', '防疫', '战疫', '治疗']"
2020-01-27,551,22,6,1149,163,128,84,0,248,3,2,207,56,1233,4,10,82,725,0,124,203,"['出现', '检测', '日本', '意大利', '人员', '发布', '防疫', '战疫', '治疗']"
2020-01-28,14,5,5,25,4,13,9,0,2,0,0,2,1,32,0,4,0,5,0,0,0,"['抗击', '传播', '检测', '日本', '意大利', '人员', '出院', '战疫', '治疗']"
2020-01-29,2,20,0,89,4,0,0,0,2,0,0,2,2,84,14,14,3,12,0,0,0,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-01-30,115,77,10,197,4,16,8,0,8,0,0,0,60,285,463,465,73,92,0,4,4,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-01-31,45,0,10,35,4,0,0,0,5,0,0,4,0,22,6,16,2,22,0,0,0,"['抗击', '传播', '检测', '日本', '意大利', '人员', '出院', '战疫', '治疗']"
2020-02-01,273,1304,223,3981,34,29,235,0,59,0,0,1284,2,180,0,19,0,133,0,30,19,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-02-02,48,20,4,150,17,6,1,0,2,2,0,7,9,31,0,2,3,38,0,1,0,"['出现', '检测', '日本', '意大利', '人员', '发布', '防疫', '战疫', '治疗']"
2020-02-03,498,63,445,2650,42,44,47,0,10,6,1,4,9,64,0,17,5,833,0,9,0,"['抗击', '传播', '检测', '日本', '意大利', '人员', '出院', '战疫', '治疗']"
2020-02-04,65,37,21,226,17,11,1,0,4,0,0,11,1,230,0,7,24,70,0,3,1,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-02-05,3,1,13,71,3,2,6,0,4,0,0,0,9,57,0,3,1,45,0,4,3,"['抗击', '传播', '检测', '日本', '意大利', '人员', '出院', '战疫', '治疗']"
2020-02-06,237,152,124,3249,387,59,5,0,65,27,0,5,13,13098,0,67,145,162,0,4192,2099,"['抗击', '传播', '检测', '日本', '意大利', '人员', '出院', '战疫', '治疗']"
2020-02-07,203,113,146,1956,126,127,103,0,38,35,6,7,7,2550,13,105,66,369,0,40,25,"['英国', '出现', '报告', '检测', '输入', '日本', '出院', '世界', '治疗']"
2020-02-08,4257,4907,2360,32313,4302,4469,2667,0,5165,1414,28,440,484,28180,9,3615,694,5654,0,3161,977,"['出现', '检测', '日本', '意大利', '人员', '发布', '防疫', '战疫', '治疗']"
2020-02-09,585,117,372,2165,1176,203,584,0,426,80,18,189,117,575,1,190,365,1039,0,138,46,"['抗击', '传播', '检测', '日本', '意大利', '人员', '出院', '战疫', '治疗']"
2020-02-10,476,911,256,3148,421,302,61,0,201,14,20,29,316,3560,0,156,202,1364,0,60,51,"['出现', '检测', '日本', '意大利', '人员', '发布', '防疫', '战疫', '治疗']"
2020-02-11,2002,1821,286,10201,1650,2125,759,0,539,26,789,94,246,2188,0,2047,1154,4693,0,305,33,"['出现', '检测', '日本', '意大利', '人员', '发布', '防疫', '战疫', '治疗']"
2020-02-12,2535,712,1358,14726,1983,2563,1284,0,1461,49,17,513,496,14870,0,1136,295,2197,20,194,882,"['抗击', '传播', '检测', '日本', '意大利', '人员', '出院', '战疫', '治疗']"
2020-02-13,633,931,296,3524,331,526,34,0,246,262,2,237,263,2537,0,81,242,609,0,174,110,"['抗击', '传播', '检测', '日本', '意大利', '人员', '出院', '战疫', '治疗']"
2020-02-14,4066,3202,311,18286,3265,3435,969,0,1227,1253,3,1040,697,9869,0,2627,1345,10853,0,843,49,"['抗击', '传播', '检测', '日本', '意大利', '人员', '出院', '战疫', '治疗']"
2020-02-15,791,755,1306,13765,1903,989,723,0,289,3907,5,153,43,25431,121,144,281,1068,0,2086,29,"['抗击', '传播', '检测', '日本', '意大利', '人员', '出院', '战疫', '治疗']"
2020-02-16,1220,15867,1403,74903,6229,468,709,0,1659,5046,66,271,217,11659,0,15136,316,9123,0,7433,304,"['抗击', '传播', '检测', '日本', '意大利', '人员', '出院', '战疫', '治疗']"
2020-02-17,478,275,125,2158,499,359,33,0,452,73,10,153,69,1306,0,566,1159,1673,0,284,3,"['抗击', '传播', '检测', '日本', '意大利', '人员', '出院', '战疫', '治疗']"
